"The ""prices"" in hearts are becoming way too high, impossible to reach to improve the island, so you are gradually forced to spend real money. Oh, and interacting with creatures would be great to add!",4,2020-06-03 23:47:39
Increíble juego. Te sumerge completamente en este universo. La música excepcional. Arte puro.,5,2020-06-03 23:16:41
Great game to kill time and relax your mind.,5,2020-06-03 22:08:30
Its amazing! I definetly recomend it and its so fun yet calming at the same time its great!,5,2020-06-03 22:08:11
"This is one of my favourite games! It is so relaxing, AND I LOVE PENGUINS! You also don't have to watch ads if you don't want to because they don't play naturally! (You have to watch them for chests ect but that's all!) Please make events reoccur every so often, though.",5,2020-06-03 21:54:31
Adorable,5,2020-06-03 21:44:34
Not good,1,2020-06-03 21:26:23
Amazing,5,2020-06-03 21:02:39
It's good peaceful but you have to wait for cash and do nothing I hope there's events are mini games to pass the time but out of all of that I like this app,4,2020-06-03 20:53:58
"This game has a really pretty aesthetic, but imo has too many ads. It basically requires you to watch ads to progress with upgrades, due to its having four currencies (each only usable in one or two contexts). I would be ok with this, except that somehow whoever made this expects you to spend $30/month to get rid of the ads and still get the rewards. This seems incredibly unreasonable",3,2020-06-03 19:43:48
"Cute game, passes time, 10/10, onlh thing better is if i could maybe visit friends islands but not a deal breaker",5,2020-06-03 19:12:50
"I've only been playing for like 10mins, and I already love how adorable this is, and the music is relaxing, and the penguins are so flipping cute. 10/10. Not a frustrating typical idle game.",5,2020-06-03 16:31:51
Great game! Usually just for wallpaper,5,2020-06-03 16:14:49
So so soothing,5,2020-06-03 14:02:18
Penguins are my fav animal so you've earned 5 stars from me,5,2020-06-03 13:35:36
I LOVE THE NEW UPDATE! SO CUTE!♥️🐧,5,2020-06-03 13:14:15
It is the best game I have ever played about penguins!,4,2020-06-03 13:03:22
"I love penguins. They are perhaps my favorite animal. But I hate ads and IAPs, especially when they are this egregious. Yet another shameless cash grab mobile trash ""game"". I am sad for the penguins. They deserve better.",1,2020-06-03 12:49:07
"Basic math is wrong. When buying a penguin, the game says gold production will increase ""by 150%"". I have 500 gold/second before buying. Increasing 500 by 100% would be 500+500, increasing by 150% would be 500+750 (total of 1250). Bought penguin and new gold/second is a total of 750. This is an increase of/by 50% (+250) not 150% (+750). Is this a mistake?",2,2020-06-03 12:44:15
great game :),5,2020-06-03 12:37:13
ummmm im like this so cool but can you gave me submarine pls gave,5,2020-06-03 11:11:47
A bit grindy after a while,4,2020-06-03 11:10:18
Adorable!! Its perfect stress relief,5,2020-06-03 10:32:25
"Absolutely beautiful game, I love it so much. It's so relaxing and easy 💕🌸",5,2020-06-03 10:21:15
"Cool n relaxing, thou having the ability to rotate the angle of the screen to have a better look at you penguin isle would be much satisfying I think, well that's just my opinion",4,2020-06-03 07:52:37
This game is so fun love seeing the penguins run around. Only issue right now is I have maxed out on the Research and no longer get quests to earn energy would love for more of these in the game.,5,2020-06-03 07:26:31
Do you have a useless life ? Of then just download it and make your life more useless,1,2020-06-03 07:13:12
"Great game for when your bored, since I got it I can't get off!",5,2020-06-03 06:47:48
Fun easy going nice music,5,2020-06-03 05:02:54
If you love penguins,5,2020-06-03 04:11:03
"I didn't think it would be good, it being a idle clicker but it was relaxing and entertaining.",5,2020-06-03 03:26:07
Harder to progress further you move up. Interesting facts about penguins,5,2020-06-03 03:15:05
"Its cute and visually pleasing! Very calming too, just staring at penguins doing stuff",5,2020-06-03 01:00:36
Love it very calm and relaxing!,5,2020-06-03 00:59:54
good,5,2020-06-02 22:28:46
"It a peaceful tycoon game about building the perfect penguin paradise. But the game is too peaceful, I feel that the developers should sprinkle some spice. Like make the penguins be part a drug smuggling operation and the penguin police has to stop them, or there is a war between penguins and puffins, you know like something that gives you a chance to see a penguin firing an AK-47.",5,2020-06-02 22:04:54
Love everything about the game I just hope that theirs updates to come so it dosent get boring,5,2020-06-02 21:49:30
Meeeeeeeeeeeeeeeeeereeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,5,2020-06-02 21:05:26
Best game ever,5,2020-06-02 20:44:35
"I like this game and don't mind the ads but I do wish the ads were shorter. Phone also gets really hot while playing. The game is cute and the music is relaxing. Update: this is my second time purchasing the unlimited ad skips, makes the game even more enjoyable. Still overheats if I leave it running to long to get those hearts. Also still a huge battery drain, but I love this game!",5,2020-06-02 19:50:58
i love the bonuses,5,2020-06-02 19:36:49
Thanks for the your app This is a good game These are anather star 🌟🌟🌟🌟🌟🌟🌟🌟🌟⭐,5,2020-06-02 18:28:39
It's such a cute lil game,5,2020-06-02 18:24:05
Enjoyable,5,2020-06-02 17:45:02
the game is so relaxing and wholesome worth downloading it,5,2020-06-02 17:38:50
Fine😍💜,5,2020-06-02 16:59:29
"A nice and relaxing game to play. But u can't really play too much because there won't be much to do without spending money or watch ads. Still a good game to play casually 5 minutes at a time. The penguin animations are adorable, spent a bunch of time just observing them.",4,2020-06-02 15:16:48
The progress of the game gets really slow really quick. Unless you buy tokens of course. Otherwise graphics and gameplay are good.,2,2020-06-02 13:24:40
I love penguins and this game too. It is so stress relieving,5,2020-06-02 11:58:39
Pengwings,5,2020-06-02 09:30:03
"Fun experience, except in order to progress in any meaningful way, you are required to watch ads. Not a fan.",2,2020-06-02 07:46:18
Goood game,5,2020-06-02 04:37:27
♥️♥️♥️,4,2020-06-02 02:59:11
Not as many ads as I thought there'd be,5,2020-06-02 02:32:29
This game is great the only reason I didn't give 5 stars is because the annoying amount of ads,4,2020-06-02 02:23:40
I love the game but I would really love to be able to name the penguins.,4,2020-06-02 02:12:40
Trash,1,2020-06-02 01:27:27
Enjoyable,5,2020-06-02 00:55:43
This game is 👌👌👌👍👍👍,5,2020-06-02 00:29:37
Gg,5,2020-06-01 23:52:18
"I think it's the best game I've ever played, with time you get to realize about some techniques to progress more and that's absolutely amazing. I'm here once more just to make some small suggestions that I'd love to see: Better distribution of penguins around the island not just staying in the middle, more visual improvements when upgrading habitats, another way to increase heart production and, finally, be able to connect with Facebook. Nevertheless, still being an amazing game. <3",5,2020-06-01 23:07:33
"Hey im ToastyToons, and if you follow me, you know I love penguins so this game is perfect 5 stars",5,2020-06-01 22:54:54
"Cool game, I like it very much. Though it would be great for new users to be able to play previous events and get those decorations and characters, maybe you could make it happen somehow, that would be nice. Another thing, why is it not possible to have all the penguins in the game at once, for now I can only have 18/24 of each kind of common penguins on the game field. Anyway, waiting for the new updates, new penguins and habitats, thanks for the game!",5,2020-06-01 22:52:58
cute lil pengwings,5,2020-06-01 21:33:34
"My money doesn't seem to get collected I have some habitats that are producing money but my total is not going up, it a long time till next amount getting boring now",3,2020-06-01 21:14:04
"This game is trash. Don't download it, it makes your storage full, also in the game one single mistake of buying something you will be poor ( oh no I feel bad now D: sorry)",3,2020-06-01 20:30:10
THEY'RE SO CUTE I'M GONNA DIE!!! (They even have FAT seals!),5,2020-06-01 20:26:38
"It's very relaxing, especially during the quarantine period.",5,2020-06-01 20:00:20
"I think more appropriate name for this game would be ""Ad watching with penguins"". That's basically what you do, watch many, many ads, and sometimes build something. Then watch many more ads, and maybe build something. Shame, it definitely has a potential.",1,2020-06-01 19:44:37
"I have hecka bad anxiety, and the fact that it's so easy and the game gives you coins is amazing. It's so relaxing.",5,2020-06-01 19:03:49
This is the best app made to kill time.. you can become a mathematician soon by counting coins and hearts... this build patience as well. Thanks a lot for making this app. It's even more great since you can play it offline without spending money. However it would be great if you could bring each level's score down ( the amount of coins we have to earn to reach each level. Bcz you have set higher targets which are not easy to achieve sometime). Thanks anyway.,5,2020-06-01 18:42:10
"This game is so cute!! Those penguins are amazing!! You don't have to stay 10 hours to get some money, if you collect everything you feel rich! I love the game because its just so cute, relaxing and it just makes your day better <3",5,2020-06-01 18:07:09
Achievements do not unlock. Too many ads.,1,2020-06-01 15:56:53
It is very relaxing and cute and also easy to play. I love it.,5,2020-06-01 15:40:15
"Love this game, it's so relaxing",5,2020-06-01 15:39:29
Well.. that commercial sucked..just saying...love the game though..i could go for better graphics,5,2020-06-01 13:50:09
"So hyped to try the game out! The overall concept is unique, over thousands of games this caught my attention the most.",5,2020-06-01 13:30:47
Ok well this game sucks it literally has no point don't waste space on your device get a better game or has zero point and it takes forever to buy anything,1,2020-06-01 12:30:41
Very cute,5,2020-06-01 11:05:24
terrible,1,2020-06-01 09:03:12
Wholesome indeed uwu,5,2020-06-01 08:08:40
One of the best mobile games I've played,5,2020-06-01 07:52:47
Its a nice and calm game and there are no ads like in other game.You can Play it while watching youtube or in the Bus or At class when the lessons are Boring. The music is calm and the Penguins and animations are really good. I recommend this game for people that just wanna calm done.,5,2020-06-01 06:04:01
"Amazing game, relaxing, great music, amazing animations. 5/5 stars for sure.",5,2020-06-01 04:45:53
"Great Game! Fun, playable and calming!",5,2020-06-01 04:12:17
enjoy,5,2020-06-01 03:44:52
Good Very good,5,2020-06-01 02:31:35
This is a very relaxing and fun game,5,2020-05-31 23:23:38
cute,5,2020-05-31 23:05:17
The best game to play when you are bored or sad. The most exiting thing is that the penguins move around and visit each habitats looks cute. I request the developer of this app to bring such an app of dinosaurs or animals.,5,2020-05-31 22:00:07
Its fun and I'm enjoying it but now two of my penguins were randomly deleted. I put in effort watching all those ads to max out all my penguins and I sign on today and I only have 18 instead of 20? Only issue and complaint everything else is 100%,4,2020-05-31 20:36:26
i hope updates come fast. i finished the game and waiting!!,3,2020-05-31 20:00:04
Smoothly soothing 10\10 Love it i can't thank the company's work enough I just can't This is too much Let me say this again ...I love it!,5,2020-05-31 16:58:56
Cute,5,2020-05-31 16:58:07
It is very nice game the graphics are good sound tracks are good and you also become addicted to built your penguin society but after playing for months I got bored but it's still a nice game. There should be some side quests to make the game more interesting.,4,2020-05-31 15:47:28
Since the last update the offline reward is broke. I get 2 br money from treasure ship and only 4 br from offline for 660 minutes which is not at all correct. Also the hearts reward once you are at 100% double with the help of the animals you should get that in the reward as well.,3,2020-05-31 13:24:57
"It's cute and the music is soothing. But I think the best part is how they use ads. You can choose to view ads for benefits. As far as I can tell, ads aren't forced on you at any point. It makes me excited to see ads, because I get to choose when to see them and I'm going to get some coins out of it. Awesome game.",5,2020-05-31 12:22:08
Lovely graphics. I'm sure an enjoyable tappable experience for some to many. To each their own. Kudos to the developers with best wishes.,2,2020-05-31 10:58:47
"Great game overall, very calming and cute. But ads aren't loading or take a really long time to load, which is really annoying!",4,2020-05-31 09:33:30
I love it so much. I am constantly playing and taking care of my little penguins,5,2020-05-31 07:44:37
"Game has potential, played over 6 hours buying upgrades all the way for every penguin. Then miner stopped producing any gold. Problem won't stop. Waisted time playing!",2,2020-05-31 07:16:03
The best game 🤭,5,2020-05-31 06:44:34
I LOVE THIS GAME!! There aren't too many ads and the penguins are soooo cute! Although the ad coupons and some packs are way too expensive for what you get the cheap ones are worth it!,4,2020-05-31 05:40:47
"love this game! super cute! cant figure out how to get ""decoration"" items tho? help?",5,2020-05-31 05:10:40
Very calming!! The penguins are absolute bby,5,2020-05-31 03:21:53
"ABSOLITELY AMAZING. Love it so much, im so addicted",5,2020-05-31 01:43:33
"To be honest, I've always hated these tycoon games because it was so boring and they were like cookie clicker games. But, this game is not like the others. The photo feature is really nice and the penguins are cute. The island that this game takes place on is aesthetically pleasing. I love how the penguins interact with each place differently and sometimes even take decorations and put them in the middle of the island. The music also enhances the calming experience. 10/10 would recommend.",5,2020-05-31 01:00:07
Sometimes the ads freeze up and i have to restart the whole app,4,2020-05-31 00:40:42
Fun game to unwind with lots of penguin humor,4,2020-05-30 22:44:52
Uwow,4,2020-05-30 22:24:24
"Muito lindo. Não dava nada para esse jogo, mas aí vi um anúncio em vídeo e resolvi baixar para ver como é. É fofo demais, além de ser lindinho e viciante. Recomendo muito ♥️",5,2020-05-30 20:07:41
Epic,5,2020-05-30 19:42:16
"Un poco repetitivo, pero tiene buen sonido, buenos gráficos, atención de los desarrolladores. Tal vez faltaría agregar una función para conectarse con Facebook",4,2020-05-30 19:24:28
This game makes me happy.,5,2020-05-30 19:19:59
Boooooorrrrriiiiinnnng!!!!!,1,2020-05-30 18:12:17
I know you love it so Cooling nice and special I will never delete this game,5,2020-05-30 17:28:36
It's very relaxing and fun and cute and they make there land and I find it that it's my favorite out of every game but not every game but I give it a 5/5 :),5,2020-05-30 15:46:23
Only got just the spa and everynow and then it lags but other wise that its great,4,2020-05-30 15:27:46
I like the game but for some reason it won't save the pictures I take of my penguins :( if you fix it I can make this 5 star. Galaxy a51 is my phone's model.,4,2020-05-30 14:28:49
Nice and relaxing.,5,2020-05-30 14:18:57
No no no no so bad I am just kidding 😂😂😂 its grate relaxing music it's all good it cool game and the penguins are funny and you could make your island big and different type of penguin so funny!!!!!,5,2020-05-30 14:05:00
It's really cute and ambient,5,2020-05-30 13:43:50
Love playing this game. So calming and intriguing. I am hooked,5,2020-05-30 13:03:52
relaxing,5,2020-05-30 12:24:28
It's a great game,5,2020-05-30 09:49:54
It is awful who likes this this game. Just kidding it is so fun and I just downloaded the game,5,2020-05-30 08:48:32
This so nice 🥰,4,2020-05-30 08:20:17
Good game,4,2020-05-30 08:11:51
"Very cute, and very relaxing.",5,2020-05-30 07:59:23
Great,5,2020-05-30 07:09:28
"Great game, enjoyable progressing through the expansion of your island. I love that there isn't any part of the game shut off to you if you're not up for parting with money.",5,2020-05-30 04:32:32
Its a very fun and relaxing game,5,2020-05-30 04:22:24
"I've enjoyed it so far the graphics are great, and the game play is relaxing..",5,2020-05-30 03:49:38
The best game ever made🤩💙👌👍👏❄️🌨️🐧,5,2020-05-30 03:19:48
"After you play for a week or so things get a tad boring. There are no exciting bits of the game. You simply log in after your MAX offline coin, watch a video to double it, watch ANOTHER video for the ship, watch ANOTHER video for the gift box, then logout to do it all again 2 hours later",1,2020-05-30 01:50:01
"Cute, calming, relaxing; however, I would have given it 5 stars if it weren't for its difficulty to unlock new habitats, creatures, or to do quests and the like because it's too expensive or takes too much time.",3,2020-05-30 00:22:26
I love this app because I love penguins and I love seeing them be happy and making fun stuff for them,5,2020-05-29 21:17:25
Yey,5,2020-05-29 21:15:22
Amazing,5,2020-05-29 20:47:58
The only phone game I have that I keep playing everyday,5,2020-05-29 20:04:38
"Great game! I would recommend it to my friends and family. But, I need more cute penguins. I hope the game updates soon with more penguins. I wish when you're upgrading a habitat you can long press the upgrading button to upgrade faster. But, so far I love the game!",5,2020-05-29 20:00:09
It's good,5,2020-05-29 19:35:02
I loved everything about this game.,5,2020-05-29 18:02:55
It is really calming and settling when your about to go to bed and sleep. I always play this before I sleep and accasionly so that us why I gave this a five star rating.,5,2020-05-29 17:06:48
I have to say this is the best phone game I've ever played. I'm disappointed because I'm at the end now and can't find anything at the same level.,5,2020-05-29 14:58:01
Please add horizontal orientation I want to enjoy view,5,2020-05-29 14:44:24
Great,5,2020-05-29 13:56:25
qut,5,2020-05-29 13:21:35
This game is so relaxing,5,2020-05-29 12:58:55
I personally find it really relaxing.,5,2020-05-29 12:22:25
What's the point of habitat revolution upgrade? It only gives you upgrade boost once an upgrade of it not every time I upgrade the habitat itself. The habitat upgrade only gives you 10% upgrade every time. It means it's better if I upgrade the habitat first until I feel bored of upgrading it and then upgrade the habitat revolution lump sum. It's better if you make the habitat revolution upgrade gives the overall upgrade for the habitat. That way I wouldn't feel of it as a waste.,3,2020-05-29 12:04:27
"Rather relaxing because of it's artstyle/colours and music/sfx which is good. However, everytime I see this game it reminds me of ads and waiting. Its gameplay does not outshine those two factors which means youll get bored of it easily because theres nothing else you can do than to wait to be able to do something even with ads. You wait for ads, watch ads and still waiting. It'll be best if there is some active mechanic within the game like mini games or deeper interactions with the penguins",3,2020-05-29 10:40:59
